GCCSA_NAME21	Age	NeedsAssistance	Sex	persons
No usual address (SA)	65-74	0	F	113
No usual address (SA)	65-74	0	M	158
No usual address (SA)	65-74	1	F	11
No usual address (SA)	65-74	1	M	13
No usual address (SA)	75-84		F	6
No usual address (SA)	75-84		M	7
No usual address (SA)	75-84	0	F	16
No usual address (SA)	75-84	0	M	29
No usual address (SA)	75-84	1	F	3
No usual address (SA)	75-84	1	M	4
No usual address (SA)	85+	0	F	7
No usual address (SA)	85+	0	M	3
No usual address (SA)	85+	1	F	3
No usual address (SA)	85+	1	M	4
Migratory - Offshore - Shipping (SA)	45-54		M	7
Migratory - Offshore - Shipping (SA)	45-54	0	M	8
Greater Adelaide	0-4		F	1435
Greater Adelaide	0-4		M	1432
Greater Adelaide	0-4	0	F	34335
Greater Adelaide	0-4	0	M	36120
Greater Adelaide	0-4	1	F	529
Greater Adelaide	0-4	1	M	889
Greater Adelaide	5-14		F	2955
Greater Adelaide	5-14		M	3276
Greater Adelaide	5-14	0	F	73277
Greater Adelaide	5-14	0	M	73979
Greater Adelaide	5-14	1	F	2994
Greater Adelaide	5-14	1	M	6304
Greater Adelaide	15-19		F	1376
Greater Adelaide	15-19		M	1510
Greater Adelaide	15-19	0	F	35507
Greater Adelaide	15-19	0	M	36662
Greater Adelaide	15-19	1	F	1235
Greater Adelaide	15-19	1	M	1997
Greater Adelaide	20-24		F	1716
Greater Adelaide	20-24		M	2024
Greater Adelaide	20-24	0	F	41825
Greater Adelaide	20-24	0	M	43160
Greater Adelaide	20-24	1	F	924
Greater Adelaide	20-24	1	M	1413
Greater Adelaide	25-34		F	3893
Greater Adelaide	25-34		M	4603
Greater Adelaide	25-34	0	F	91273
Greater Adelaide	25-34	0	M	89931
Greater Adelaide	25-34	1	F	1929
Greater Adelaide	25-34	1	M	2083
Greater Adelaide	35-44		F	3386
Greater Adelaide	35-44		M	4186
Greater Adelaide	35-44	0	F	87951
Greater Adelaide	35-44	0	M	84461
Greater Adelaide	35-44	1	F	2392
Greater Adelaide	35-44	1	M	2274
Greater Adelaide	45-54		F	3062
Greater Adelaide	45-54		M	3760
Greater Adelaide	45-54	0	F	82078
