GCCSA_NAME21	Age5yr	Indigenous	Sex	persons
Greater Brisbane	60-64	0	F	64032
Greater Brisbane	60-64	0	M	59113
Greater Brisbane	60-64	1	F	1228
Greater Brisbane	60-64	1	M	1045
Greater Brisbane	65+		F	8379
Greater Brisbane	65+		M	7145
Greater Brisbane	65+	0	F	190513
Greater Brisbane	65+	0	M	163314
Greater Brisbane	65+	1	F	2064
Greater Brisbane	65+	1	M	1653
Rest of Qld	0-4		F	3808
Rest of Qld	0-4		M	4131
Rest of Qld	0-4	0	F	56341
Rest of Qld	0-4	0	M	60126
Rest of Qld	0-4	1	F	8297
Rest of Qld	0-4	1	M	8740
Rest of Qld	5-9		F	4906
Rest of Qld	5-9		M	5129
