SA3_NAME16	CoupleFamily	HasChild	IncomeFamily.max	families
Dubbo	1	0	0	186
Dubbo	1	0	7875	58
Dubbo	1	0	15750	30
Dubbo	1	0	21000	35
Dubbo	1	0	26250	225
Dubbo	1	0	34125	145
Dubbo	1	0	42000	912
Dubbo	1	0	52500	685
Dubbo	1	0	65625	866
Dubbo	1	0	78750	1142
Dubbo	1	0	91875	831
Dubbo	1	0	105000	975
Dubbo	1	0	131250	2211
Dubbo	1	0	157500	1520
Dubbo	1	0	183750	1160
Dubbo	1	0	210000	695
Dubbo	1	0	Inf	1438
Dubbo	1	1	7875	6
Dubbo	1	1	15750	14
