LGA_NAME16	Age	MaritalStatus	Sex	responses
Blayney	85+	Widowed	M	30
Blue Mountains	15-19	Married	M	6
Blue Mountains	20-24	Divorced	M	4
Blue Mountains	20-24	Married	F	56
Blue Mountains	20-24	Married	M	30
Blue Mountains	25-34	Divorced	F	85
Blue Mountains	25-34	Divorced	M	54
Blue Mountains	25-34	Married	F	1440
Blue Mountains	25-34	Married	M	1050
Blue Mountains	25-34	Separated	F	65
Blue Mountains	25-34	Separated	M	40
Blue Mountains	25-34	Widowed	F	5
Blue Mountains	35-44	Divorced	F	405
Blue Mountains	35-44	Divorced	M	247
Blue Mountains	35-44	Married	F	2951
Blue Mountains	35-44	Married	M	2655
Blue Mountains	35-44	Separated	F	212
Blue Mountains	35-44	Separated	M	161
Blue Mountains	35-44	Widowed	F	14
Blue Mountains	35-44	Widowed	M	6
Blue Mountains	45-54	Divorced	F	838
Blue Mountains	45-54	Divorced	M	537
Blue Mountains	45-54	Married	F	3317
Blue Mountains	45-54	Married	M	3163
Blue Mountains	45-54	Separated	F	297
Blue Mountains	45-54	Separated	M	214
Blue Mountains	45-54	Widowed	F	71
Blue Mountains	45-54	Widowed	M	32
Blue Mountains	55-64	Divorced	F	1116
Blue Mountains	55-64	Divorced	M	710
Blue Mountains	55-64	Married	F	3491
Blue Mountains	55-64	Married	M	3291
Blue Mountains	55-64	Separated	F	242
Blue Mountains	55-64	Separated	M	209
Blue Mountains	55-64	Widowed	F	239
Blue Mountains	55-64	Widowed	M	82
Blue Mountains	65-74	Divorced	F	1235
Blue Mountains	65-74	Divorced	M	709
Blue Mountains	65-74	Married	F	2956
Blue Mountains	65-74	Married	M	3352
Blue Mountains	65-74	Separated	F	179
Blue Mountains	65-74	Separated	M	167
Blue Mountains	65-74	Widowed	F	583
Blue Mountains	65-74	Widowed	M	199
Blue Mountains	75-84	Divorced	F	538
Blue Mountains	75-84	Divorced	M	277
Blue Mountains	75-84	Married	F	1193
Blue Mountains	75-84	Married	M	1586
Blue Mountains	75-84	Separated	F	74
Blue Mountains	75-84	Separated	M	56
Blue Mountains	75-84	Widowed	F	896
Blue Mountains	75-84	Widowed	M	245
Blue Mountains	85+	Divorced	F	111
Blue Mountains	85+	Divorced	M	54
Blue Mountains	85+	Married	F	189
