LGA_NAME16	DwellingStructure	DwellingSubtype	NumberBedrooms.min	occupied_private_dwellings
Brisbane	Flat/apartment	9 or more storey block	5	17
Brisbane	Flat/apartment	9 or more storey block	6	9
Brisbane	Flat/apartment	Attached to a house		20
Brisbane	Flat/apartment	Attached to a house	1	223
Brisbane	Flat/apartment	Attached to a house	2	410
Brisbane	Flat/apartment	Attached to a house	3	109
Brisbane	Flat/apartment	Attached to a house	4	55
Brisbane	Flat/apartment	Attached to a house	5	44
Brisbane	Flat/apartment	Attached to a house	6	21
Brisbane	Separate house			2646
Brisbane	Separate house		0	371
Brisbane	Separate house		1	2247
Brisbane	Separate house		2	17559
Brisbane	Separate house		3	109963
Brisbane	Separate house		4	113412
Brisbane	Separate house		5	37425
Brisbane	Separate house		6	7688
Bulloo			1	3
Bulloo			2	4
Bulloo	(Other)		2	3
Bulloo	Flat/apartment	1 or 2 storey block	2	5
Bulloo	Separate house		1	3
Bulloo	Separate house		2	21
Bulloo	Separate house		3	40
Bulloo	Separate house		4	17
Bulloo	Separate house		5	4
Bulloo	Separate house		6	3
Bundaberg				35
Bundaberg			0	12
Bundaberg			1	15
Bundaberg			2	14
Bundaberg			3	19
Bundaberg			4	7
Bundaberg		1 storey		70
Bundaberg		1 storey	0	12
Bundaberg		1 storey	1	242
Bundaberg		1 storey	2	1359
Bundaberg		1 storey	3	452
Bundaberg		1 storey	4	20
Bundaberg		1 storey	5	5
Bundaberg		2 storeys or more		17
Bundaberg		2 storeys or more	0	9
Bundaberg		2 storeys or more	1	143
Bundaberg		2 storeys or more	2	146
Bundaberg		2 storeys or more	3	153
Bundaberg		2 storeys or more	4	3
Bundaberg		2 storeys or more	5	3
Bundaberg		2 storeys or more	6	3
Bundaberg	(Other)			106
Bundaberg	(Other)		0	119
Bundaberg	(Other)		1	304
Bundaberg	(Other)		2	107
Bundaberg	(Other)		3	48
Bundaberg	(Other)		4	25
Bundaberg	(Other)		5	4
Bundaberg	Flat/apartment	1 or 2 storey block		53
Bundaberg	Flat/apartment	1 or 2 storey block	0	15
Bundaberg	Flat/apartment	1 or 2 storey block	1	410
Bundaberg	Flat/apartment	1 or 2 storey block	2	1221
Bundaberg	Flat/apartment	1 or 2 storey block	3	382
Bundaberg	Flat/apartment	1 or 2 storey block	4	31
Bundaberg	Flat/apartment	1 or 2 storey block	5	3
Bundaberg	Flat/apartment	1 or 2 storey block	6	3
Bundaberg	Flat/apartment	3 storey block	2	22
Bundaberg	Flat/apartment	3 storey block	3	21
Bundaberg	Flat/apartment	4-8 storey block	1	4
Bundaberg	Flat/apartment	4-8 storey block	2	68
Bundaberg	Flat/apartment	4-8 storey block	3	69
Bundaberg	Flat/apartment	Attached to a house	1	4
Bundaberg	Separate house			536
Bundaberg	Separate house		0	159
Bundaberg	Separate house		1	574
Bundaberg	Separate house		2	3630
Bundaberg	Separate house		3	15988
Bundaberg	Separate house		4	9877
Bundaberg	Separate house		5	1548
Bundaberg	Separate house		6	382
Burdekin				8
Burdekin			0	5
Burdekin			1	7
Burdekin			2	8
Burdekin			3	9
Burdekin			4	12
Burdekin		1 storey		19
Burdekin		1 storey	0	9
Burdekin		1 storey	1	54
Burdekin		1 storey	2	353
Burdekin		1 storey	3	35
Burdekin		2 storeys or more		3
Burdekin		2 storeys or more	1	12
Burdekin		2 storeys or more	2	47
Burdekin		2 storeys or more	3	10
Burdekin		2 storeys or more	4	3
Burdekin	(Other)			43
Burdekin	(Other)		0	16
Burdekin	(Other)		1	30
Burdekin	(Other)		2	3
Burdekin	(Other)		3	12
Burdekin	Flat/apartment	1 or 2 storey block	1	7
Burdekin	Flat/apartment	1 or 2 storey block	2	18
Burdekin	Flat/apartment	1 or 2 storey block	3	3
Burdekin	Separate house			103
Burdekin	Separate house		0	6
Burdekin	Separate house		1	130
Burdekin	Separate house		2	771
Burdekin	Separate house		3	3079
Burdekin	Separate house		4	1382
Burdekin	Separate house		5	164
Burdekin	Separate house		6	22
Burke				3
Burke			3	3
Burke	(Other)			3
Burke	(Other)		0	8
Burke	(Other)		1	9
Burke	(Other)		2	4
Burke	(Other)		3	8
Burke	(Other)		4	4
Burke	Separate house		1	3
Burke	Separate house		2	22
Burke	Separate house		3	37
Burke	Separate house		4	3
Burke	Separate house		5	4
Cairns				53
Cairns			0	16
Cairns			1	62
Cairns			2	177
Cairns			3	50
Cairns			4	14
Cairns			5	5
Cairns			6	13
Cairns		1 storey		103
Cairns		1 storey	0	28
Cairns		1 storey	1	426
Cairns		1 storey	2	1940
Cairns		1 storey	3	540
Cairns		1 storey	4	52
Cairns		2 storeys or more		58
Cairns		2 storeys or more	0	32
Cairns		2 storeys or more	1	407
Cairns		2 storeys or more	2	1980
Cairns		2 storeys or more	3	383
Cairns		2 storeys or more	4	35
Cairns		2 storeys or more	5	7
Cairns		2 storeys or more	6	10
Cairns	(Other)			34
Cairns	(Other)		0	91
Cairns	(Other)		1	206
Cairns	(Other)		2	68
Cairns	(Other)		3	51
Cairns	(Other)		4	17
Cairns	(Other)		5	3
Cairns	(Other)		6	3
Cairns	Flat/apartment	1 or 2 storey block		130
Cairns	Flat/apartment	1 or 2 storey block	0	145
Cairns	Flat/apartment	1 or 2 storey block	1	1014
Cairns	Flat/apartment	1 or 2 storey block	2	3116
Cairns	Flat/apartment	1 or 2 storey block	3	511
Cairns	Flat/apartment	1 or 2 storey block	4	34
Cairns	Flat/apartment	1 or 2 storey block	5	14
Cairns	Flat/apartment	1 or 2 storey block	6	9
Cairns	Flat/apartment	3 storey block		52
Cairns	Flat/apartment	3 storey block	0	31
Cairns	Flat/apartment	3 storey block	1	554
Cairns	Flat/apartment	3 storey block	2	1914
Cairns	Flat/apartment	3 storey block	3	645
Cairns	Flat/apartment	3 storey block	4	16
Cairns	Flat/apartment	3 storey block	6	5
Cairns	Flat/apartment	4-8 storey block		9
Cairns	Flat/apartment	4-8 storey block	0	6
Cairns	Flat/apartment	4-8 storey block	1	87
Cairns	Flat/apartment	4-8 storey block	2	521
Cairns	Flat/apartment	4-8 storey block	3	229
Cairns	Flat/apartment	4-8 storey block	4	3
Cairns	Flat/apartment	9 or more storey block		10
Cairns	Flat/apartment	9 or more storey block	1	61
Cairns	Flat/apartment	9 or more storey block	2	191
Cairns	Flat/apartment	9 or more storey block	3	147
Cairns	Flat/apartment	9 or more storey block	4	8
Cairns	Flat/apartment	Attached to a house	1	3
Cairns	Flat/apartment	Attached to a house	2	3
Cairns	Flat/apartment	Attached to a house	3	10
Cairns	Flat/apartment	Attached to a house	4	6
Cairns	Separate house			612
Cairns	Separate house		0	84
Cairns	Separate house		1	422
Cairns	Separate house		2	2653
Cairns	Separate house		3	18887
Cairns	Separate house		4	17594
Cairns	Separate house		5	3024
Cairns	Separate house		6	702
Carpentaria				5
Carpentaria			1	5
Carpentaria			2	7
Carpentaria			3	4
Carpentaria		1 storey	1	4
Carpentaria		1 storey	2	7
Carpentaria		1 storey	4	3
Carpentaria	(Other)			3
Carpentaria	(Other)		0	16
Carpentaria	(Other)		1	30
Carpentaria	(Other)		2	5
Carpentaria	(Other)		3	3
Carpentaria	(Other)		4	7
Carpentaria	(Other)		5	5
Carpentaria	Flat/apartment	1 or 2 storey block		4
Carpentaria	Flat/apartment	1 or 2 storey block	1	19
Carpentaria	Flat/apartment	1 or 2 storey block	2	30
Carpentaria	Flat/apartment	1 or 2 storey block	3	3
Carpentaria	Flat/apartment	1 or 2 storey block	4	6
Carpentaria	Separate house			15
Carpentaria	Separate house		0	12
Carpentaria	Separate house		1	47
Carpentaria	Separate house		2	121
Carpentaria	Separate house		3	249
Carpentaria	Separate house		4	59
Carpentaria	Separate house		5	19
Carpentaria	Separate house		6	8
Cassowary Coast				9
Cassowary Coast			0	4
Cassowary Coast			1	15
Cassowary Coast			2	14
Cassowary Coast			3	14
Cassowary Coast			4	5
Cassowary Coast			6	4
Cassowary Coast		1 storey		17
Cassowary Coast		1 storey	1	49
Cassowary Coast		1 storey	2	363
Cassowary Coast		1 storey	3	74
Cassowary Coast		1 storey	4	10
Cassowary Coast		1 storey	5	4
Cassowary Coast		2 storeys or more		3
Cassowary Coast		2 storeys or more	1	21
Cassowary Coast		2 storeys or more	2	138
Cassowary Coast		2 storeys or more	3	40
Cassowary Coast		2 storeys or more	4	5
Cassowary Coast	(Other)			26
Cassowary Coast	(Other)		0	42
Cassowary Coast	(Other)		1	60
Cassowary Coast	(Other)		2	30
Cassowary Coast	(Other)		3	29
Cassowary Coast	(Other)		4	16
Cassowary Coast	(Other)		5	5
Cassowary Coast	Flat/apartment	1 or 2 storey block		28
Cassowary Coast	Flat/apartment	1 or 2 storey block	0	3
Cassowary Coast	Flat/apartment	1 or 2 storey block	1	77
Cassowary Coast	Flat/apartment	1 or 2 storey block	2	262
Cassowary Coast	Flat/apartment	1 or 2 storey block	3	54
Cassowary Coast	Flat/apartment	1 or 2 storey block	4	14
Cassowary Coast	Flat/apartment	1 or 2 storey block	6	3
Cassowary Coast	Flat/apartment	3 storey block	2	22
Cassowary Coast	Flat/apartment	3 storey block	4	3
Cassowary Coast	Flat/apartment	4-8 storey block		3
Cassowary Coast	Flat/apartment	4-8 storey block	2	7
Cassowary Coast	Flat/apartment	4-8 storey block	3	9
Cassowary Coast	Flat/apartment	4-8 storey block	4	3
Cassowary Coast	Separate house			245
Cassowary Coast	Separate house		0	49
Cassowary Coast	Separate house		1	338
Cassowary Coast	Separate house		2	1406
Cassowary Coast	Separate house		3	4885
Cassowary Coast	Separate house		4	2084
Cassowary Coast	Separate house		5	368
Cassowary Coast	Separate house		6	83
Central Highlands (Qld)				6
Central Highlands (Qld)			0	7
Central Highlands (Qld)			1	36
Central Highlands (Qld)			2	15
Central Highlands (Qld)			3	23
Central Highlands (Qld)			4	19
Central Highlands (Qld)			5	6
Central Highlands (Qld)			6	7
Central Highlands (Qld)		1 storey		7
Central Highlands (Qld)		1 storey	1	20
Central Highlands (Qld)		1 storey	2	154
Central Highlands (Qld)		1 storey	3	154
Central Highlands (Qld)		1 storey	4	20
Central Highlands (Qld)		1 storey	5	6
Central Highlands (Qld)		2 storeys or more		5
Central Highlands (Qld)		2 storeys or more	0	3
Central Highlands (Qld)		2 storeys or more	1	11
Central Highlands (Qld)		2 storeys or more	2	100
Central Highlands (Qld)		2 storeys or more	3	84
Central Highlands (Qld)		2 storeys or more	4	14
Central Highlands (Qld)		2 storeys or more	5	3
Central Highlands (Qld)	(Other)			12
Central Highlands (Qld)	(Other)		0	33
Central Highlands (Qld)	(Other)		1	48
Central Highlands (Qld)	(Other)		2	16
Central Highlands (Qld)	(Other)		3	14
Central Highlands (Qld)	(Other)		4	11
Central Highlands (Qld)	(Other)		5	5
Central Highlands (Qld)	Flat/apartment	1 or 2 storey block		9
Central Highlands (Qld)	Flat/apartment	1 or 2 storey block	0	5
Central Highlands (Qld)	Flat/apartment	1 or 2 storey block	1	60
Central Highlands (Qld)	Flat/apartment	1 or 2 storey block	2	270
Central Highlands (Qld)	Flat/apartment	1 or 2 storey block	3	138
Central Highlands (Qld)	Flat/apartment	1 or 2 storey block	4	5
Central Highlands (Qld)	Flat/apartment	1 or 2 storey block	6	3
Central Highlands (Qld)	Flat/apartment	3 storey block	2	4
Central Highlands (Qld)	Separate house			178
Central Highlands (Qld)	Separate house		0	47
Central Highlands (Qld)	Separate house		1	254
Central Highlands (Qld)	Separate house		2	493
Central Highlands (Qld)	Separate house		3	3161
Central Highlands (Qld)	Separate house		4	3110
Central Highlands (Qld)	Separate house		5	548
Central Highlands (Qld)	Separate house		6	173
Charters Towers			0	5
Charters Towers			1	6
Charters Towers			2	6
Charters Towers			3	8
Charters Towers			4	4
Charters Towers			5	6
Charters Towers			6	3
Charters Towers		1 storey		12
Charters Towers		1 storey	1	26
Charters Towers		1 storey	2	119
Charters Towers		1 storey	3	85
Charters Towers		1 storey	4	40
Charters Towers		1 storey	5	5
Charters Towers		2 storeys or more		3
Charters Towers		2 storeys or more	2	40
Charters Towers		2 storeys or more	3	12
Charters Towers		2 storeys or more	4	5
Charters Towers		2 storeys or more	5	4
Charters Towers		2 storeys or more	6	6
Charters Towers	(Other)			6
Charters Towers	(Other)		0	23
Charters Towers	(Other)		1	33
Charters Towers	(Other)		2	10
Charters Towers	(Other)		3	11
Charters Towers	(Other)		4	5
Charters Towers	(Other)		6	4
Charters Towers	Flat/apartment	1 or 2 storey block	1	5
Charters Towers	Flat/apartment	1 or 2 storey block	2	10
Charters Towers	Separate house			105
Charters Towers	Separate house		0	15
Charters Towers	Separate house		1	117
Charters Towers	Separate house		2	582
Charters Towers	Separate house		3	1594
Charters Towers	Separate house		4	918
Charters Towers	Separate house		5	187
Charters Towers	Separate house		6	72
Cherbourg		1 storey	2	3
Cherbourg		2 storeys or more	2	3
Cherbourg	Flat/apartment	1 or 2 storey block	1	7
Cherbourg	Flat/apartment	1 or 2 storey block	2	18
Cherbourg	Separate house			4
Cherbourg	Separate house		1	8
Cherbourg	Separate house		2	38
Cherbourg	Separate house		3	102
Cherbourg	Separate house		4	102
Cherbourg	Separate house		5	29
Cherbourg	Separate house		6	3
Cloncurry			2	4
Cloncurry			4	3
Cloncurry			6	3
Cloncurry		1 storey	1	5
Cloncurry		1 storey	2	12
Cloncurry		2 storeys or more	2	4
Cloncurry	(Other)			14
Cloncurry	(Other)		0	10
Cloncurry	(Other)		1	17
Cloncurry	(Other)		2	6
Cloncurry	(Other)		3	13
Cloncurry	(Other)		4	5
Cloncurry	Flat/apartment	1 or 2 storey block	1	32
Cloncurry	Flat/apartment	1 or 2 storey block	2	54
Cloncurry	Flat/apartment	1 or 2 storey block	3	16
Cloncurry	Flat/apartment	1 or 2 storey block	4	6
Cloncurry	Separate house			37
Cloncurry	Separate house		0	6
Cloncurry	Separate house		1	24
Cloncurry	Separate house		2	93
Cloncurry	Separate house		3	417
Cloncurry	Separate house		4	214
Cloncurry	Separate house		5	39
Cloncurry	Separate house		6	14
Cook				4
Cook			0	3
Cook			1	7
Cook			2	3
Cook		1 storey		4
Cook		1 storey	1	15
Cook		1 storey	2	37
Cook		1 storey	3	11
Cook		2 storeys or more	1	4
Cook		2 storeys or more	2	8
Cook		2 storeys or more	3	9
Cook	(Other)			15
Cook	(Other)		0	27
Cook	(Other)		1	47
Cook	(Other)		2	11
Cook	(Other)		3	17
Cook	(Other)		4	13
Cook	(Other)		5	4
Cook	Flat/apartment	1 or 2 storey block	2	4
Cook	Separate house			58
Cook	Separate house		0	60
Cook	Separate house		1	153
Cook	Separate house		2	325
Cook	Separate house		3	440
Cook	Separate house		4	173
Cook	Separate house		5	31
Cook	Separate house		6	17
Croydon			3	5
Croydon	(Other)		1	4
Croydon	Separate house			9
Croydon	Separate house		1	11
Croydon	Separate house		2	9
Croydon	Separate house		3	28
Croydon	Separate house		4	11
Croydon	Separate house		5	6
Diamantina		1 storey	0	3
Diamantina	(Other)		0	5
Diamantina	Flat/apartment	1 or 2 storey block	1	3
Diamantina	Separate house			8
Diamantina	Separate house		1	6
Diamantina	Separate house		2	20
Diamantina	Separate house		3	29
Diamantina	Separate house		4	7
Diamantina	Separate house		5	7
Diamantina	Separate house		6	3
Doomadgee			2	3
Doomadgee		1 storey	2	5
Doomadgee		2 storeys or more	2	4
Doomadgee	Flat/apartment	1 or 2 storey block	2	14
Doomadgee	Separate house		1	13
Doomadgee	Separate house		2	54
Doomadgee	Separate house		3	127
Doomadgee	Separate house		4	55
Douglas			0	3
Douglas			1	22
Douglas			2	15
Douglas			3	10
Douglas			4	5
Douglas			6	9
Douglas		1 storey		5
Douglas		1 storey	1	14
Douglas		1 storey	2	176
Douglas		1 storey	3	76
Douglas		1 storey	4	5
Douglas		2 storeys or more		3
Douglas		2 storeys or more	1	16
Douglas		2 storeys or more	2	166
Douglas		2 storeys or more	3	69
Douglas		2 storeys or more	4	10
Douglas	(Other)			8
Douglas	(Other)		0	11
Douglas	(Other)		1	48
Douglas	(Other)		2	23
Douglas	(Other)		3	12
Douglas	(Other)		4	8
Douglas	(Other)		6	7
Douglas	Flat/apartment	1 or 2 storey block		15
Douglas	Flat/apartment	1 or 2 storey block	0	8
Douglas	Flat/apartment	1 or 2 storey block	1	69
Douglas	Flat/apartment	1 or 2 storey block	2	328
Douglas	Flat/apartment	1 or 2 storey block	3	60
Douglas	Flat/apartment	1 or 2 storey block	4	8
Douglas	Flat/apartment	3 storey block	1	8
Douglas	Separate house			71
Douglas	Separate house		0	27
Douglas	Separate house		1	181
Douglas	Separate house		2	492
Douglas	Separate house		3	1518
Douglas	Separate house		4	919
Douglas	Separate house		5	97
Douglas	Separate house		6	29
Etheridge			1	5
Etheridge			2	5
Etheridge			3	3
Etheridge			4	4
Etheridge			5	3
Etheridge	(Other)			5
Etheridge	(Other)		0	9
Etheridge	(Other)		1	24
Etheridge	(Other)		2	6
Etheridge	(Other)		3	3
Etheridge	(Other)		4	4
Etheridge	Separate house			23
Etheridge	Separate house		0	3
Etheridge	Separate house		1	18
Etheridge	Separate house		2	24
Etheridge	Separate house		3	54
Etheridge	Separate house		4	33
Etheridge	Separate house		5	3
Etheridge	Separate house		6	8
Flinders (Qld)				7
Flinders (Qld)			2	3
Flinders (Qld)			3	4
Flinders (Qld)			4	9
Flinders (Qld)			6	5
Flinders (Qld)		1 storey	1	8
Flinders (Qld)		1 storey	2	19
Flinders (Qld)		1 storey	3	24
Flinders (Qld)		1 storey	4	24
Flinders (Qld)	(Other)		1	3
Flinders (Qld)	Separate house			5
Flinders (Qld)	Separate house		1	18
Flinders (Qld)	Separate house		2	82
Flinders (Qld)	Separate house		3	196
Flinders (Qld)	Separate house		4	76
Flinders (Qld)	Separate house		5	23
Flinders (Qld)	Separate house		6	20
Fraser Coast				11
Fraser Coast			0	20
Fraser Coast			1	57
Fraser Coast			2	60
Fraser Coast			3	34
Fraser Coast			4	31
Fraser Coast			5	3
Fraser Coast		1 storey		66
Fraser Coast		1 storey	0	18
Fraser Coast		1 storey	1	314
Fraser Coast		1 storey	2	1191
Fraser Coast		1 storey	3	623
Fraser Coast		1 storey	4	50
Fraser Coast		1 storey	5	9
Fraser Coast		1 storey	6	4
Fraser Coast		2 storeys or more		38
Fraser Coast		2 storeys or more	0	20
Fraser Coast		2 storeys or more	1	189
Fraser Coast		2 storeys or more	2	563
Fraser Coast		2 storeys or more	3	505
Fraser Coast		2 storeys or more	4	29
Fraser Coast	(Other)			46
Fraser Coast	(Other)		0	112
Fraser Coast	(Other)		1	360
Fraser Coast	(Other)		2	145
Fraser Coast	(Other)		3	51
Fraser Coast	(Other)		4	35
Fraser Coast	(Other)		6	3
Fraser Coast	Flat/apartment	1 or 2 storey block		30
Fraser Coast	Flat/apartment	1 or 2 storey block	0	13
Fraser Coast	Flat/apartment	1 or 2 storey block	1	119
Fraser Coast	Flat/apartment	1 or 2 storey block	2	431
Fraser Coast	Flat/apartment	1 or 2 storey block	3	96
Fraser Coast	Flat/apartment	1 or 2 storey block	4	9
Fraser Coast	Flat/apartment	3 storey block		3
Fraser Coast	Flat/apartment	3 storey block	1	20
Fraser Coast	Flat/apartment	3 storey block	2	92
Fraser Coast	Flat/apartment	3 storey block	3	30
Fraser Coast	Flat/apartment	4-8 storey block		3
Fraser Coast	Flat/apartment	4-8 storey block	1	23
Fraser Coast	Flat/apartment	4-8 storey block	2	168
Fraser Coast	Flat/apartment	4-8 storey block	3	96
Fraser Coast	Flat/apartment	9 or more storey block	2	4
Fraser Coast	Flat/apartment	9 or more storey block	3	3
Fraser Coast	Flat/apartment	Attached to a house	1	3
Fraser Coast	Flat/apartment	Attached to a house	2	5
Fraser Coast	Flat/apartment	Attached to a house	3	4
Fraser Coast	Flat/apartment	Attached to a house	4	3
Fraser Coast	Separate house			609
Fraser Coast	Separate house		0	173
Fraser Coast	Separate house		1	700
Fraser Coast	Separate house		2	4869
Fraser Coast	Separate house		3	16629
Fraser Coast	Separate house		4	12885
Fraser Coast	Separate house		5	1832
Fraser Coast	Separate house		6	461
Gladstone				13
Gladstone			0	7
Gladstone			1	19
Gladstone			2	7
Gladstone			3	15
Gladstone			4	5
Gladstone		1 storey		11
Gladstone		1 storey	0	5
Gladstone		1 storey	1	89
Gladstone		1 storey	2	229
Gladstone		1 storey	3	212
Gladstone		1 storey	4	84
Gladstone		1 storey	5	19
Gladstone		1 storey	6	6
Gladstone		2 storeys or more		16
Gladstone		2 storeys or more	0	9
Gladstone		2 storeys or more	1	26
Gladstone		2 storeys or more	2	305
Gladstone		2 storeys or more	3	364
Gladstone		2 storeys or more	4	27
Gladstone	(Other)			51
Gladstone	(Other)		0	25
Gladstone	(Other)		1	117
Gladstone	(Other)		2	51
Gladstone	(Other)		3	22
Gladstone	(Other)		4	8
Gladstone	Flat/apartment	1 or 2 storey block		19
Gladstone	Flat/apartment	1 or 2 storey block	0	3
Gladstone	Flat/apartment	1 or 2 storey block	1	121
Gladstone	Flat/apartment	1 or 2 storey block	2	678
Gladstone	Flat/apartment	1 or 2 storey block	3	294
Gladstone	Flat/apartment	1 or 2 storey block	4	13
Gladstone	Flat/apartment	3 storey block		6
Gladstone	Flat/apartment	3 storey block	0	15
Gladstone	Flat/apartment	3 storey block	1	28
Gladstone	Flat/apartment	3 storey block	2	119
Gladstone	Flat/apartment	3 storey block	3	30
Gladstone	Flat/apartment	3 storey block	4	3
Gladstone	Flat/apartment	4-8 storey block	1	8
Gladstone	Flat/apartment	4-8 storey block	2	155
Gladstone	Flat/apartment	4-8 storey block	3	46
Gladstone	Flat/apartment	9 or more storey block	1	4
Gladstone	Flat/apartment	9 or more storey block	2	80
Gladstone	Flat/apartment	9 or more storey block	3	5
Gladstone	Flat/apartment	Attached to a house	3	3
Gladstone	Separate house			284
Gladstone	Separate house		0	87
Gladstone	Separate house		1	339
Gladstone	Separate house		2	1291
Gladstone	Separate house		3	8018
Gladstone	Separate house		4	8360
Gladstone	Separate house		5	1202
Gladstone	Separate house		6	232
Gold Coast				61
Gold Coast			0	25
Gold Coast			1	151
Gold Coast			2	211
Gold Coast			3	176
Gold Coast			4	88
Gold Coast			5	8
Gold Coast			6	4
Gold Coast		1 storey		280
Gold Coast		1 storey	0	67
Gold Coast		1 storey	1	642
Gold Coast		1 storey	2	7077
Gold Coast		1 storey	3	7405
Gold Coast		1 storey	4	697
Gold Coast		1 storey	5	48
Gold Coast		1 storey	6	22
Gold Coast		2 storeys or more		472
Gold Coast		2 storeys or more	0	47
Gold Coast		2 storeys or more	1	835
Gold Coast		2 storeys or more	2	6291
Gold Coast		2 storeys or more	3	19924
Gold Coast		2 storeys or more	4	3111
Gold Coast		2 storeys or more	5	218
Gold Coast		2 storeys or more	6	53
Gold Coast	(Other)			60
Gold Coast	(Other)		0	117
Gold Coast	(Other)		1	643
Gold Coast	(Other)		2	418
Gold Coast	(Other)		3	74
Gold Coast	(Other)		4	26
Gold Coast	(Other)		5	4
Gold Coast	(Other)		6	16
Gold Coast	Flat/apartment		0	9
Gold Coast	Flat/apartment	1 or 2 storey block		264
Gold Coast	Flat/apartment	1 or 2 storey block	0	163
Gold Coast	Flat/apartment	1 or 2 storey block	1	1602
Gold Coast	Flat/apartment	1 or 2 storey block	2	4956
Gold Coast	Flat/apartment	1 or 2 storey block	3	1545
Gold Coast	Flat/apartment	1 or 2 storey block	4	231
Gold Coast	Flat/apartment	1 or 2 storey block	5	31
Gold Coast	Flat/apartment	1 or 2 storey block	6	20
Gold Coast	Flat/apartment	3 storey block		266
Gold Coast	Flat/apartment	3 storey block	0	72
Gold Coast	Flat/apartment	3 storey block	1	2517
Gold Coast	Flat/apartment	3 storey block	2	9663
Gold Coast	Flat/apartment	3 storey block	3	1882
Gold Coast	Flat/apartment	3 storey block	4	135
Gold Coast	Flat/apartment	3 storey block	5	18
Gold Coast	Flat/apartment	3 storey block	6	9
Gold Coast	Flat/apartment	4-8 storey block		150
Gold Coast	Flat/apartment	4-8 storey block	0	83
Gold Coast	Flat/apartment	4-8 storey block	1	1980
Gold Coast	Flat/apartment	4-8 storey block	2	5887
Gold Coast	Flat/apartment	4-8 storey block	3	1770
Gold Coast	Flat/apartment	4-8 storey block	4	130
Gold Coast	Flat/apartment	4-8 storey block	5	8
Gold Coast	Flat/apartment	4-8 storey block	6	9
Gold Coast	Flat/apartment	9 or more storey block		262
Gold Coast	Flat/apartment	9 or more storey block	0	271
Gold Coast	Flat/apartment	9 or more storey block	1	3472
Gold Coast	Flat/apartment	9 or more storey block	2	8999
Gold Coast	Flat/apartment	9 or more storey block	3	2846
Gold Coast	Flat/apartment	9 or more storey block	4	166
Gold Coast	Flat/apartment	9 or more storey block	5	13
Gold Coast	Flat/apartment	9 or more storey block	6	4
Gold Coast	Flat/apartment	Attached to a house		4
Gold Coast	Flat/apartment	Attached to a house	1	53
Gold Coast	Flat/apartment	Attached to a house	2	104
Gold Coast	Flat/apartment	Attached to a house	3	49
Gold Coast	Flat/apartment	Attached to a house	4	34
Gold Coast	Flat/apartment	Attached to a house	5	22
Gold Coast	Flat/apartment	Attached to a house	6	12
Gold Coast	Separate house			1543
Gold Coast	Separate house		0	173
Gold Coast	Separate house		1	740
Gold Coast	Separate house		2	5569
Gold Coast	Separate house		3	41316
Gold Coast	Separate house		4	63733
Gold Coast	Separate house		5	13544
Gold Coast	Separate house		6	3299
Goondiwindi			1	4
Goondiwindi			2	5
Goondiwindi			3	12
Goondiwindi			4	6
Goondiwindi			5	4
Goondiwindi		1 storey		12
Goondiwindi		1 storey	1	23
Goondiwindi		1 storey	2	140
Goondiwindi		1 storey	3	27
Goondiwindi		1 storey	4	3
Goondiwindi		2 storeys or more	2	15
Goondiwindi		2 storeys or more	3	11
Goondiwindi	(Other)			4
Goondiwindi	(Other)		0	7
Goondiwindi	(Other)		1	7
Goondiwindi	(Other)		2	4
Goondiwindi	(Other)		3	9
Goondiwindi	(Other)		4	3
Goondiwindi	Flat/apartment	1 or 2 storey block	1	15
Goondiwindi	Flat/apartment	1 or 2 storey block	2	38
Goondiwindi	Flat/apartment	1 or 2 storey block	3	10
Goondiwindi	Separate house			54
Goondiwindi	Separate house		0	14
Goondiwindi	Separate house		1	61
Goondiwindi	Separate house		2	386
Goondiwindi	Separate house		3	1484
Goondiwindi	Separate house		4	1113
Goondiwindi	Separate house		5	213
Goondiwindi	Separate house		6	70
Gympie				4
Gympie			0	9
Gympie			1	56
Gympie			2	21
Gympie			3	16
Gympie			4	11
Gympie		1 storey		19
Gympie		1 storey	0	4
Gympie		1 storey	1	103
Gympie		1 storey	2	345
Gympie		1 storey	3	140
Gympie		1 storey	4	19
Gympie		1 storey	5	4
Gympie		2 storeys or more		7
Gympie		2 storeys or more	0	9
Gympie		2 storeys or more	1	37
Gympie		2 storeys or more	2	143
Gympie		2 storeys or more	3	94
Gympie		2 storeys or more	4	13
Gympie	(Other)			18
Gympie	(Other)		0	64
Gympie	(Other)		1	122
Gympie	(Other)		2	74
Gympie	(Other)		3	36
Gympie	(Other)		4	29
Gympie	(Other)		6	5
Gympie	Flat/apartment	1 or 2 storey block		17
Gympie	Flat/apartment	1 or 2 storey block	0	11
Gympie	Flat/apartment	1 or 2 storey block	1	112
Gympie	Flat/apartment	1 or 2 storey block	2	174
Gympie	Flat/apartment	1 or 2 storey block	3	60
Gympie	Flat/apartment	1 or 2 storey block	4	5
Gympie	Flat/apartment	3 storey block	2	10
Gympie	Flat/apartment	Attached to a house	1	4
Gympie	Flat/apartment	Attached to a house	4	5
Gympie	Separate house			331
Gympie	Separate house		0	111
Gympie	Separate house		1	484
Gympie	Separate house		2	2171
Gympie	Separate house		3	8652
Gympie	Separate house		4	5686
Gympie	Separate house		5	983
Gympie	Separate house		6	245
Hinchinbrook			1	4
Hinchinbrook			2	7
Hinchinbrook			3	14
Hinchinbrook			4	3
Hinchinbrook			6	5
